,decision_tree,adaboost,samba,random_forest,random_scm,scm
metabolomics_bleuets-ID_2060,0.0,0.0,0.16666666666666669,0.015843326666500682,0.20901972916543451,1.0
metabolomics_bleuets-ID_2068,0.7875222816399287,0.19983652136208538,0.16666666666666669,0.01582893210842394,0.15803471872094058,0.0
metabolomics_bleuets-ID_8734,0.0,0.18215786722161192,0.16666666666666669,0.0,0.0,0.0
metabolomics_bleuets-ID_2551,0.0,0.16969646649982,0.16666666666666669,0.0,0.006821156662741453,0.0
metabolomics_bleuets-ID_676,0.0,0.13831452729712537,0.0,0.01741573162876761,0.13895469655234136,0.0
metabolomics_bleuets-ID_3844,0.0,0.0,0.16666666666666669,0.010878922607317668,0.0,0.0
metabolomics_bleuets-ID_3072,0.0,0.0,0.16666666666666669,0.0,0.0,0.0
metabolomics_bleuets-ID_2877,0.0,0.15392480537109027,0.0,0.006561023402805746,0.0,0.0
metabolomics_bleuets-ID_3433,0.0,0.15606981224826716,0.0,0.002620928384639205,0.0,0.0
metabolomics_bleuets-ID_7197,0.14276094276094284,0.0,0.0,0.0,0.0038978038072808303,0.0
metabolomics_bleuets-ID_116,0.06971677559912855,0.0,0.0,0.0,0.0,0.0
metabolomics_bleuets-ID_2524,0.0,0.0,0.0,0.02043107036970037,0.0287594713348018,0.0
metabolomics_bleuets-ID_2396,0.0,0.0,0.0,0.012466112951967286,0.006390993629955956,0.0
metabolomics_bleuets-ID_5349,0.0,0.0,0.0,0.013790108190798659,0.0,0.0
metabolomics_bleuets-ID_8225,0.0,0.0,0.0,0.0,0.01325981855934787,0.0
metabolomics_bleuets-ID_5338,0.0,0.0,0.0,0.010471698061710357,0.0,0.0
metabolomics_bleuets-ID_2419,0.0,0.0,0.0,0.0,0.010134289898930157,0.0
metabolomics_bleuets-ID_15843,0.0,0.0,0.0,0.0,0.009673640358069696,0.0
metabolomics_bleuets-ID_4180,0.0,0.0,0.0,0.0,0.00886750366156389,0.0
