,hps,fit,pred
decision_tree-methyl,9.503491679002764,0.057507753001118544,0.0013096479960950091
adaboost-methyl,365.8136666930004,7.249482022001757,0.03888503700000001
samba-methyl,315.6496437240057,8.313744655999471,0.09995928699936485
random_forest-methyl,55.53913137299969,0.3853984009983833,0.005345486999431159
random_scm-methyl,148.08714626800065,2.86325675000262,0.06007494599907659
scm-methyl,4.750719308001862,0.34708326699910685,0.0004916429970762692
decision_tree-rna_iso,12.26346379199822,0.04089324500091607,0.0012560670002130792
adaboost-rna_iso,310.0448968540004,22.8731944520041,0.10931575699942186
samba-rna_iso,381.9046797639967,11.73466385500069,0.10462386600556783
random_forest-rna_iso,48.87104395899951,5.39598898600525,0.04418302699923515
random_scm-rna_iso,147.97693898899888,0.5993228489969624,0.03526745099952677
scm-rna_iso,5.036824546004937,0.1923944020018098,0.00047425299999304116
decision_tree-rna,10.396659639998688,1.3905406089979806,0.001251191999472212
adaboost-rna,208.79345847199875,19.670338449002884,0.1750543519956409
samba-rna,269.6878896940034,12.245953293000639,0.15271786499943119
random_forest-rna,48.51282015500328,1.372527165003703,0.01514135800243821
random_scm-rna,168.7261765660005,10.912902256000962,0.09716617500089342
scm-rna,4.843514181004139,0.30619080599717563,0.0004811889957636595
decision_tree-mirna,2.548517556999286,0.1901835749958991,0.00030419600079767406
adaboost-mirna,67.00431729100092,3.1513480880021234,0.05847893899772316
samba-mirna,148.84488493700337,18.772836611999082,0.11841615499724867
random_forest-mirna,22.691689383005723,2.193861077998008,0.035448772003292106
random_scm-mirna,39.748167644000205,1.9186776019996614,0.04100372499669902
scm-mirna,0.988605425998685,0.024567644999478944,0.0001668860058998689
decision_tree-clinic,0.37767151400475996,0.0021933269963483326,0.0001969900040421635
adaboost-clinic,4.151922912998998,0.019568650997825898,0.002345259999856353
samba-clinic,87.9562084739955,1.2945258760009892,0.0662076650041854
random_forest-clinic,8.085002170002554,0.16627396200055955,0.012181203004729468
random_scm-clinic,9.018634353997186,0.4738676619963371,0.016909490994294174
scm-clinic,0.4593318039987935,0.004197583002678584,0.0001695360042504035
