,fit,hps,pred
decision_tree-methyl,0.4763217553336777,2.929619526687889,4.3332476289011165e-05
adaboost-methyl,18.630369268439235,61.60967443394915,0.06854205482122963
samba-methyl,7.0617717974142495,39.46781378166074,0.027106134228844267
random_forest-methyl,1.2768103848019494,5.161970449435032,0.010965270073079628
random_scm-methyl,1.2550455971570917,36.45478333077911,0.01889618605753736
scm-methyl,0.0971881068417611,0.3288633853721226,4.1450535516935935e-05
decision_tree-rna_iso,0.4440947973634277,1.0734140345968053,4.68314229746408e-05
adaboost-rna_iso,11.710138622404092,45.65278964007858,0.03823279561636036
samba-rna_iso,8.714709767085923,35.38810992481034,0.056642703542100076
random_forest-rna_iso,1.8469534197834323,6.920207311168256,0.013997091533621579
random_scm-rna_iso,4.885491418985413,74.81961095053155,0.1185853642989926
scm-rna_iso,0.05345581344368795,0.33963333039510546,1.8382851025248364e-05
decision_tree-rna,0.5016648131927344,2.117760675617778,9.308250004877954e-05
adaboost-rna,15.402849914363946,61.052261827507735,0.03923160599167631
samba-rna,18.61194485646051,109.45417609557067,0.06987838337201792
random_forest-rna,1.8963580243337894,5.106962567781181,0.014935968727778921
random_scm-rna,11.518100777521065,33.483674279621496,0.10977613691073393
scm-rna,0.061035088936534976,0.4524979102289865,3.1616207767694356e-05
decision_tree-mirna,0.057249642159948225,0.40611533439930003,7.0771331254182295e-06
adaboost-mirna,2.078386340680155,11.385466630721897,0.018963930913664044
samba-mirna,6.028884178674628,25.527028678682356,0.015626092278474987
random_forest-mirna,0.8562766617551458,3.0512950604237385,0.013676471987714014
random_scm-mirna,1.4371113719957491,9.804300755320622,0.014033338557764485
scm-mirna,0.00873591935708139,0.15971691077609096,1.207065063594461e-05
decision_tree-clinic,0.0005126511526969952,0.06650496450044781,1.4465283970746841e-05
adaboost-clinic,0.12722341399597983,1.0877786869623531,0.012969357362843145
samba-clinic,5.3902180863520925,28.491482198446292,0.014960545440917754
random_forest-clinic,0.1960393397776495,1.3272358483820192,0.014435205985346576
random_scm-clinic,0.3749895885838783,1.6757495963413886,0.016406172030135207
scm-clinic,0.001326560047746897,0.08178215280687903,2.2306033505854862e-05
