Sample	S	L	G	M	K	E	P	J	C	T	H	V	F	U	O	D	I	N	Q	Z	W	A	B	Y
NielsenHB_2014_MH0002	0.198763	0.125962	0.082263	0.084745	0.072326	0.057311	0.056160	0.052253	0.048027	0.051312	0.036960	0.040698	0.027433	0.031901	0.026351	0.020928	0.020327	0.015574	0.007144	0.000400	0.000149	0.000266	0.000076	0
NielsenHB_2014_MH0006	0.199203	0.142217	0.078306	0.085573	0.068705	0.054774	0.061017	0.054362	0.042873	0.049301	0.036030	0.034953	0.029256	0.027939	0.028266	0.019602	0.020203	0.017893	0.006506	0.000474	0.000216	0.000188	0.000107	0.000000
NielsenHB_2014_MH0009	0.193094	0.131454	0.083826	0.085976	0.064742	0.058748	0.057868	0.060494	0.049272	0.041541	0.035306	0.034379	0.031111	0.030261	0.030038	0.021844	0.021719	0.014895	0.007911	0.000879	0.000255	0.000206	0.000386	0
NielsenHB_2014_MH0011	0.201004	0.116519	0.084581	0.091032	0.063187	0.057464	0.061048	0.056193	0.047669	0.047976	0.036773	0.037605	0.028529	0.033195	0.029487	0.020778	0.021751	0.014559	0.008121	0.000617	0.000086	0.000367	0.000321	0
NielsenHB_2014_MH0012	0.206468	0.128330	0.086179	0.084601	0.068550	0.051754	0.061129	0.055413	0.041962	0.049363	0.032167	0.037964	0.029551	0.029284	0.026398	0.021416	0.018779	0.014805	0.008197	0.000856	0.000309	0.000290	0.000184	0.000000
NielsenHB_2014_MH0014	0.198914	0.116044	0.087866	0.084239	0.068829	0.060379	0.061337	0.051357	0.049252	0.048565	0.035902	0.036876	0.030865	0.035319	0.026154	0.021513	0.020117	0.016466	0.008625	0.000461	0.000150	0.000229	0.000135	0.000000
NielsenHB_2014_MH0016	0.209746	0.115410	0.087401	0.089034	0.057453	0.059862	0.070579	0.047166	0.048090	0.048400	0.038809	0.035893	0.029057	0.032954	0.027325	0.017775	0.019953	0.010669	0.008549	0.000371	0.000168	0.000281	0.000232	0.000001
NielsenHB_2014_MH0021	0.197960	0.116039	0.082804	0.087597	0.067047	0.056136	0.061625	0.055414	0.046650	0.055543	0.037752	0.038133	0.028243	0.028496	0.028408	0.019363	0.021247	0.018165	0.008559	0.000489	0.000432	0.000537	0.000110	0.000001
NielsenHB_2014_MH0025	0.202920	0.123669	0.080053	0.087415	0.067582	0.056142	0.063645	0.051188	0.046880	0.051021	0.035137	0.038276	0.026753	0.034007	0.027741	0.021208	0.020221	0.012865	0.008932	0.000394	0.000153	0.000301	0.000230	0
NielsenHB_2014_MH0026	0.213846	0.124250	0.080019	0.083939	0.067430	0.054299	0.065198	0.052802	0.042207	0.050039	0.040548	0.034203	0.027991	0.029575	0.026687	0.021883	0.018813	0.013189	0.006001	0.000920	0.000246	0.000205	0.000120	0
