Sample	Lachnospiraceae	Bacteroidaceae	Ruminococcaceae	Clostridiaceae	Eubacteriaceae	Porphyromonadaceae	Oscillospiraceae	Enterobacteriaceae	Rikenellaceae	Bacillaceae	Peptostreptococcaceae	Paenibacillaceae	Sutterellaceae	Lactobacillaceae	Peptococcaceae	Enterococcaceae	Streptococcaceae	Prevotellaceae	Flavobacteriaceae	Siphoviridae	Peptoniphilaceae	Myoviridae	Marinilabiliaceae	Yersiniaceae	Podoviridae	Burkholderiaceae	Staphylococcaceae	Planococcaceae	Comamonadaceae	Listeriaceae	Carnobacteriaceae	Erwiniaceae	Rhodobacteraceae	Oxalobacteraceae	Moraxellaceae	Alicyclobacillaceae	Alteromonadaceae	Leuconostocaceae	Micrococcaceae	Bradyrhizobiaceae	Methylocystaceae	Pectobacteriaceae	Synechococcaceae	Rhizobiaceae	Pseudomonadaceae	Morganellaceae	Syntrophomonadaceae	Alcaligenaceae	Aerococcaceae	Sporolactobacillaceae	Mycobacteriaceae	Microbacteriaceae	Thermoactinomycetaceae	Cyanothecaceae	Shewanellaceae	Corynebacteriaceae	Cryomorphaceae	Phyllobacteriaceae	Stigonemataceae	Pseudoalteromonadaceae	Nocardiaceae	Hyphomonadaceae	Methylobacteriaceae	Hyphomicrobiaceae	Cellvibrionaceae	Bartonellaceae	Streptomycetaceae	Debaryomycetaceae	Rhodobiaceae	Xanthobacteraceae	Cellulomonadaceae	Intrasporangiaceae	Merismopediaceae	Dermatophilaceae	Idiomarinaceae	Aurantimonadaceae	Saccharomycetaceae	Dermabacteraceae	Psychromonadaceae	Gordoniaceae	Microviridae	Beijerinckiaceae	Colwelliaceae	Brevibacteriaceae	Promicromonosporaceae	Brucellaceae	Rhodomelaceae	Blattabacteriaceae	Dermacoccaceae	Nectriaceae	Drosophilidae	Arthrodermataceae	Tectiviridae	Hypocreaceae	Hominidae	Inoviridae	Clavicipitaceae	Sordariaceae	Sarcocystidae	Chaetomiaceae	Retroviridae
NielsenHB_2014_MH0002	0.223529	0.267700	0.166949	0.073536	0.066812	0.058726	0.033649	0.003632	0.052605	0.007002	0.004106	0.007464	0.006083	0.001779	0.004953	0.001738	0.002112	0.000592	0.003471	0.000941	0.001327	0.002225	0.000332	0.000206	0.000247	0.000740	0.000472	0.000398	0.000148	0.000372	0.000297	0.000110	0.000255	0.000817	0.000321	0.000344	0.000153	0.000073	0.000098	0.000407	0.000421	0.000079	0.000172	0.000231	0.000136	0.000071	0.000235	0.000182	0.000147	0.000070	0.000129	0.000062	0.000126	0.000104	0.000109	0.000053	0.000038	0.000112	0.000062	0.000086	0.000031	0.000057	0.000032	0.000055	0.000022	0.000050	0.000096	0.000007	0.000055	0.000012	0.000005	0.000022	0.000011	0.000001	0.000036	0.000016	0.000071	0.000002	0.000011	0.000003	0.000003	0.000016	0.000010	0.000008	0	0.000005	0.000003	0.000002	0.000004	0.000001	0	0	0	0	0.000001	0	0	0	0	0	0
NielsenHB_2014_MH0006	0.315742	0.263400	0.100884	0.086312	0.069499	0.067397	0.013756	0.000338	0.017032	0.009551	0.003681	0.006475	0.001668	0.003185	0.004094	0.001997	0.000822	0.010467	0.005403	0.000653	0.002078	0.003568	0.001393	0.000145	0.000722	0.000427	0.000802	0.000856	0.000234	0.000564	0.000420	0.000083	0.000346	0.000201	0.000746	0.000256	0.000168	0.000111	0.000023	0.000283	0.000625	0.000074	0.000153	0.000215	0.000133	0.000054	0.000238	0.000228	0.000142	0.000125	0.000044	0.000109	0.000114	0.000355	0.000121	0.000089	0.000173	0.000272	0.000138	0.000121	0.000031	0.000111	0.000031	0.000100	0.000035	0.000064	0.000019	0.000015	0.000058	0.000021	0.000013	0.000010	0.000015	0.000002	0.000014	0.000014	0.000015	0.000004	0.000009	0.000004	0.000003	0.000017	0.000054	0.000002	0.000002	0.000027	0.000003	0	0	0.000001	0	0	0.000003	0	0.000003	0	0	0	0	0	0
NielsenHB_2014_MH0009	0.161997	0.182812	0.195303	0.118938	0.040010	0.077496	0.050538	0.004046	0.057697	0.016836	0.014162	0.011250	0.009392	0.002650	0.006695	0.002303	0.002605	0.013066	0.005853	0.001909	0.002351	0.002244	0.005911	0.000471	0.000464	0.000955	0.001026	0.001215	0.000280	0.000604	0.000543	0.000278	0.000483	0.001261	0.000315	0.000750	0.000199	0.000184	0.000099	0.000093	0.000038	0.000085	0.000046	0.000183	0.000146	0.000144	0.000330	0.000335	0.000424	0.000292	0.000112	0.000174	0.000232	0.000068	0.000080	0.000162	0.000971	0.000099	0.000057	0.000106	0.000074	0.000031	0.000025	0.000019	0.000031	0.000021	0.000062	0.000075	0.000030	0.000007	0.000006	0.000034	0.000008	0.000004	0.000005	0.000002	0.000005	0.000005	0.000007	0.000014	0.000006	0.000018	0.000040	0.000008	0.000017	0.000003	0.000000	0.000001	0.000004	0.000002	0.000009	0.000023	0.000026	0.000009	0	0	0	0	0	0	0
NielsenHB_2014_MH0011	0.149407	0.376382	0.150662	0.075520	0.036435	0.092610	0.027528	0.000567	0.026918	0.011702	0.004835	0.007205	0.006092	0.001839	0.006056	0.001361	0.001476	0.001942	0.004083	0.000403	0.001939	0.000558	0.001758	0.000137	0.000133	0.001045	0.000836	0.000863	0.000193	0.000321	0.000347	0.000083	0.000326	0.000722	0.000322	0.000455	0.000383	0.000126	0.000122	0.000257	0.000632	0.000084	0.000551	0.000333	0.000269	0.000133	0.000449	0.000217	0.000271	0.000204	0.000062	0.000117	0.000271	0.000466	0.000163	0.000063	0.000118	0.000312	0.000291	0.000170	0.000093	0.000109	0.000099	0.000077	0.000040	0.000040	0.000020	0.000015	0.000103	0.000026	0.000012	0.000021	0.000068	0.000003	0.000025	0.000013	0.000032	0.000001	0.000014	0.000009	0	0.000024	0.000006	0.000004	0.000001	0.000003	0.000003	0.000001	0.000002	0.000010	0	0.000001	0	0.000001	0.000001	0	0	0	0	0	0
NielsenHB_2014_MH0012	0.171459	0.318320	0.140555	0.085823	0.041742	0.082766	0.028172	0.001930	0.040665	0.017943	0.006826	0.009953	0.003734	0.003909	0.005934	0.002219	0.001330	0.001959	0.006276	0.003017	0.002929	0.004877	0.006026	0.000493	0.000357	0.000647	0.000923	0.001390	0.000123	0.000587	0.000950	0.000057	0.000371	0.000344	0.000228	0.000564	0.000158	0.000119	0.000072	0.000161	0.000043	0.000090	0.000100	0.000323	0.000056	0.000042	0.000364	0.000138	0.000273	0.000325	0.000104	0.000258	0.000178	0.000048	0.000061	0.000128	0.000965	0.000082	0.000081	0.000010	0.000100	0.000026	0.000030	0.000004	0.000033	0.000004	0.000018	0.000016	0.000006	0.000014	0.000011	0.000055	0.000008	0.000001	0.000003	0.000000	0.000010	0.000004	0.000009	0.000002	0.000006	0.000009	0.000005	0.000005	0.000001	0.000003	0.000003	0.000018	0.000003	0.000000	0	0.000000	0.000003	0.000007	0	0	0	0	0	0	0
NielsenHB_2014_MH0014	0.172715	0.270306	0.146509	0.076421	0.052853	0.056037	0.036711	0.101835	0.031567	0.011347	0.004862	0.007430	0.002309	0.001094	0.003713	0.001104	0.001368	0.000691	0.001438	0.000900	0.001180	0.003040	0.000270	0.003600	0.000090	0.000793	0.000464	0.000759	0.000105	0.000563	0.000336	0.001627	0.000358	0.000166	0.000123	0.000369	0.000115	0.000139	0.000065	0.000169	0.000354	0.000477	0.000116	0.000225	0.000168	0.001037	0.000129	0.000177	0.000211	0.000108	0.000069	0.000090	0.000149	0.000026	0.000046	0.000040	0.000025	0.000312	0.000016	0.000038	0.000115	0.000080	0.000051	0.000032	0.000060	0.000044	0.000046	0.000022	0.000089	0.000009	0.000006	0.000005	0.000007	0.000004	0.000000	0.000018	0.000001	0.000002	0.000003	0.000001	0.000002	0.000015	0.000002	0.000006	0.000001	0.000002	0.000005	0.000001	0.000002	0.000013	0	0	0	0.000001	0	0	0	0	0	0	0
NielsenHB_2014_MH0016	0.106375	0.510768	0.087281	0.040212	0.036509	0.138746	0.016907	0.000433	0.017966	0.003369	0.001785	0.002793	0.014032	0.000681	0.001715	0.000891	0.000727	0.001084	0.004152	0.000949	0.000603	0.001763	0.000934	0.000291	0.001548	0.001126	0.000276	0.000195	0.000331	0.000206	0.000183	0.000080	0.000232	0.000411	0.000268	0.000104	0.000155	0.000043	0.000047	0.000179	0.000746	0.000023	0.000012	0.000153	0.000142	0.000053	0.000073	0.000320	0.000108	0.000037	0.000024	0.000018	0.000045	0.000048	0.000144	0.000067	0.000335	0.000296	0.000038	0.000049	0.000037	0.000315	0.000080	0.000138	0.000048	0.000014	0.000012	0.000010	0.000075	0.000023	0.000004	0.000022	0.000003	0.000003	0.000053	0.000024	0.000000	0.000001	0.000004	0.000006	0.000004	0.000010	0.000002	0.000002	0	0.000023	0.000000	0.000001	0.000000	0.000000	0	0	0.000002	0.000001	0	0	0	0	0	0	0
NielsenHB_2014_MH0021	0.180002	0.314544	0.101169	0.064322	0.152805	0.091437	0.010230	0.000470	0.017590	0.010850	0.004999	0.006630	0.004422	0.001627	0.007444	0.001749	0.000948	0.000901	0.004264	0.000986	0.001572	0.001531	0.001038	0.000240	0.000453	0.000657	0.000473	0.000964	0.000076	0.000301	0.000337	0.000087	0.000349	0.001109	0.000689	0.000567	0.000322	0.000097	0.000036	0.000676	0.000933	0.000018	0.001724	0.000547	0.000275	0.000080	0.000548	0.000194	0.000131	0.000160	0.000077	0.000228	0.000336	0.001030	0.000768	0.000105	0.000039	0.000294	0.000591	0.000389	0.000137	0.000485	0.000147	0.000188	0.000092	0.000118	0.000037	0.000128	0.000129	0.000034	0.000019	0.000017	0.000276	0.000001	0.000023	0.000014	0.000532	0.000001	0.000032	0.000020	0.000014	0.000023	0.000082	0.000004	0.000005	0.000002	0.000003	0.000004	0.000001	0.000001	0	0.000000	0	0	0	0	0	0	0	0	0
NielsenHB_2014_MH0025	0.139340	0.398656	0.109062	0.068284	0.043000	0.090025	0.030641	0.030659	0.020024	0.007680	0.004320	0.006329	0.010297	0.001204	0.004295	0.002651	0.001099	0.003438	0.003295	0.000411	0.001490	0.000249	0.000627	0.001771	0.000349	0.001433	0.000587	0.000401	0.000337	0.000316	0.000394	0.000849	0.000357	0.000743	0.008787	0.000364	0.000217	0.000139	0.000072	0.000236	0.000637	0.001452	0.000081	0.000214	0.000344	0.000446	0.000148	0.000406	0.000080	0.000082	0.000059	0.000093	0.000130	0.000155	0.000068	0.000051	0.000046	0.000200	0.000039	0.000138	0.000040	0.000125	0.000053	0.000074	0.000018	0.000080	0.000018	0.000016	0.000075	0.000038	0.000007	0.000009	0.000014	0.000004	0.000008	0.000009	0.000007	0.000002	0.000005	0.000013	0.000001	0.000014	0.000036	0.000022	0.000004	0.000006	0.000003	0	0.000000	0	0	0	0.000001	0	0	0	0	0	0	0	0
NielsenHB_2014_MH0026	0.208883	0.379275	0.124774	0.080053	0.065801	0.052424	0.017808	0.000649	0.005880	0.011700	0.002955	0.006408	0.010213	0.001382	0.003659	0.001498	0.001112	0.002747	0.006504	0.001007	0.001720	0.005134	0.000499	0.000348	0.000977	0.000186	0.000772	0.000850	0.000108	0.000411	0.000339	0.000035	0.000217	0.000053	0.000292	0.000345	0.000113	0.000160	0.000039	0.000281	0.000016	0.000021	0.000028	0.000160	0.000026	0.000068	0.000113	0.000160	0.000142	0.000165	0.000059	0.000201	0.000095	0.000021	0.000108	0.000031	0.000110	0.000046	0.000228	0.000195	0.000102	0.000027	0.000003	0.000006	0.000048	0.000006	0.000007	0.000029	0.000005	0.000006	0.000003	0.000009	0.000015	0.000001	0.000002	0.000001	0	0.000005	0	0.000002	0.000114	0.000001	0	0.000003	0.000001	0	0	0	0	0	0	0	0.000002	0	0	0	0	0	0	0	0
