Sample	Blautia	Dorea	Lachnoclostridium	Butyrivibrio	Escherichia	Bacillus	Alloprevotella	Oribacterium	Pseudobutyrivibrio	Streptococcus	Enterobacter	Flavobacterium	Citrobacter	Lachnoanaerobaculum	Lactococcus	Geobacillus	Capnocytophaga	Salmonella	Chryseobacterium	Lysinibacillus	Anoxybacillus	Virgibacillus	Oceanobacillus	Pantoea	Serratia	Pontibacillus	Synechococcus	Yersinia	Pseudomonas	Roseovarius	Arenibacter	Cyanothece	Pectobacterium	Aquimarina	Halobacillus	Gracilibacillus	Myroides	Cellulophaga	Elizabethkingia	Providencia	Proteus	Leeuwenhoekiella	Rahnella	Gillisia	Cellvibrio	Polaribacter	Roseobacter	Erwinia	Maribacter	Psychroflexus	Dickeya	Oceanicola	Nonlabens	Streptacidiphilus	Synechocystis	Paracoccus	Rhodovulum	Dokdonia	Sulfitobacter	Streptomyces	Ruegeria	Thioclava	Kitasatospora	Tatumella	Vertebrata	Rhodobacter	Roseivivax	Buchnera	Cyanobium	Loktanella	Phaeobacter	Leisingera
NielsenHB_2014_MH0002	0.337870	0.181212	0.211227	0.110093	0.016910	0.035195	0.003683	0.014871	0.025223	0.012314	0.002135	0.010516	0.001971	0.008044	0.000817	0.003266	0.003952	0.001248	0.003887	0.001120	0.000938	0.000848	0.000794	0.000624	0.000805	0.000391	0.001026	0.000363	0.000848	0.000357	0.000604	0.000649	0.000337	0.000961	0.000482	0.000499	0.000337	0.000176	0.000394	0.000241	0.000201	0.000125	0.000111	0.000125	0.000139	0.000119	0.000210	0.000054	0.000102	0.000238	0.000153	0.000031	0.000003	0.000187	0.000071	0.000062	0.000071	0.000003	0.000051	0.000377	0.000088	0.000085	0.000031	0.000009	0.000020	0.000026	0.000026	0	0.000045	0	0.000009	0
NielsenHB_2014_MH0006	0.194011	0.101610	0.151090	0.408289	0.001074	0.030087	0.043815	0.013721	0.009720	0.003235	0.000179	0.006431	0.000079	0.004914	0.000204	0.002945	0.004355	0.000061	0.004262	0.001603	0.001582	0.000501	0.001102	0.000322	0.000129	0.001066	0.000641	0.000480	0.000558	0.000397	0.004595	0.001485	0.000254	0.000744	0.000762	0.000329	0.000229	0.000222	0.000125	0.000122	0.000104	0.000097	0	0.000183	0.000147	0.000247	0.000097	0.000004	0.000966	0.000014	0.000057	0.000032	0.000064	0.000075	0.000061	0.000061	0.000014	0	0	0.000004	0.000336	0.000054	0	0.000018	0.000011	0.000007	0.000011	0.000004	0	0	0	0
NielsenHB_2014_MH0009	0.158776	0.092565	0.183821	0.186581	0.014085	0.092596	0.099489	0.020688	0.013026	0.015188	0.010918	0.013081	0.003431	0.008732	0.004644	0.011135	0.014452	0.002221	0.004012	0.004624	0.007109	0.001382	0.003888	0.001874	0.002152	0.003665	0.000299	0.000935	0.001110	0.002039	0.001863	0.000519	0.000347	0.001502	0.001901	0.001891	0.002162	0.000584	0.000629	0.000684	0.000409	0.002114	0.000502	0.001482	0.000237	0.000928	0.000206	0.000206	0.000674	0.000354	0.000303	0.000089	0.000148	0.000423	0.000058	0.000316	0.000072	0.000382	0.000151	0.000041	0.000017	0.000120	0.000007	0.000014	0.000003	0.000041	0.000021	0.000021	0.000052	0	0	0.000007
NielsenHB_2014_MH0011	0.215129	0.126412	0.198684	0.227055	0.003191	0.069693	0.017356	0.019104	0.012388	0.012649	0.001041	0.020795	0.000342	0.006331	0.000546	0.014885	0.007326	0.000291	0.002893	0.003174	0.006274	0.001436	0.002421	0.000606	0.000810	0.002511	0.004895	0.000338	0.002401	0.000593	0.000650	0.004162	0.000171	0.000787	0.001768	0.002421	0.000241	0.000214	0.000241	0.000639	0.000552	0.000285	0.000074	0.000666	0.000362	0.000154	0.000425	0.000114	0.000184	0.001533	0.000579	0.000100	0.000054	0.000147	0.000609	0.000258	0.000144	0.000121	0.000044	0.000013	0.000254	0.000218	0.000020	0	0.000027	0.000097	0.000044	0.000020	0.000027	0.000013	0	0
NielsenHB_2014_MH0012	0.185874	0.118507	0.156736	0.268643	0.010603	0.097513	0.014608	0.024874	0.012115	0.008799	0.001699	0.013186	0.001133	0.005130	0.001122	0.011132	0.013745	0.000917	0.004345	0.003268	0.008762	0.001774	0.002899	0.000363	0.001055	0.005007	0.000735	0.002552	0.000417	0.001202	0.001229	0.000355	0.000529	0.003105	0.001991	0.001475	0.002119	0.003955	0.001178	0.000139	0.000171	0.000625	0.000072	0.000291	0.000246	0.001114	0.000086	0.000024	0.001045	0.000438	0.000139	0.000086	0.000206	0.000102	0.000061	0.000179	0.000139	0.000005	0.000021	0.000016	0.000005	0.000045	0.000016	0	0.000021	0.000003	0	0.000040	0.000008	0.000005	0	0
NielsenHB_2014_MH0014	0.184555	0.061848	0.106569	0.069156	0.360633	0.039290	0.003105	0.010673	0.007471	0.005984	0.031974	0.002607	0.039516	0.003330	0.000159	0.002411	0.001283	0.024195	0.000988	0.001525	0.002874	0.001010	0.001506	0.007058	0.008182	0.001387	0.000522	0.005730	0.000755	0.000720	0.000496	0.000117	0.001896	0.000132	0.000449	0.000499	0.000066	0.000114	0.000417	0.002858	0.001800	0.000054	0.002255	0.000042	0.000269	0.000099	0.000208	0.000240	0.000041	0.000079	0.000246	0.000059	0.000025	0.000130	0.000031	0.000085	0.000038	0.000001	0.000061	0.000037	0.000018	0.000015	0.000040	0.000006	0.000023	0.000034	0.000006	0	0	0	0	0
NielsenHB_2014_MH0016	0.290371	0.136385	0.297499	0.095250	0.003562	0.032750	0.014308	0.019913	0.014356	0.007918	0.001687	0.033758	0.000146	0.005798	0.001682	0.003326	0.003116	0.000056	0.005008	0.001940	0.001914	0.001056	0.001326	0.000700	0.001090	0.001039	0.000163	0.002708	0.001871	0.000880	0.001712	0.000639	0.000180	0.001176	0.000584	0.000545	0.004317	0.000618	0.001888	0.000275	0.000421	0.000124	0.000043	0.000210	0.000631	0.001948	0.000356	0.000253	0.000232	0.000030	0.000124	0.000133	0.000245	0.000047	0.000039	0.000502	0.000069	0.000318	0.000215	0.000099	0.000116	0.000176	0.000013	0.000107	0.000004	0.000030	0	0	0	0	0.000004	0
NielsenHB_2014_MH0021	0.342491	0.149927	0.220164	0.094692	0.002260	0.057103	0.006371	0.018898	0.013220	0.005006	0.000696	0.014653	0.000256	0.007879	0.001698	0.006400	0.005148	0.000043	0.006354	0.002291	0.003401	0.002490	0.001715	0.000585	0.001011	0.001823	0.012161	0.000659	0.001948	0.000369	0.000210	0.007283	0.000054	0.001647	0.000985	0.000514	0.000344	0.000219	0.000185	0.000074	0.000491	0.000636	0.000026	0.000358	0.000653	0.000190	0.000145	0.000023	0.000082	0.000085	0.000077	0.000014	0.000026	0.000204	0.001953	0.000162	0.000196	0.000006	0.000074	0.000048	0.000877	0.000196	0.000006	0.000003	0.000023	0.000111	0.000077	0.000003	0.000034	0	0	0
NielsenHB_2014_MH0025	0.208031	0.106509	0.179043	0.127650	0.158111	0.041640	0.023260	0.013093	0.011928	0.007188	0.014955	0.010090	0.021362	0.006636	0.000250	0.004044	0.003654	0.011237	0.003526	0.001808	0.000940	0.000905	0.000794	0.004402	0.008338	0.000582	0.000544	0.003011	0.002326	0.000706	0.000478	0.001051	0.009392	0.000897	0.000775	0.000462	0.000226	0.000194	0.001083	0.001721	0.001296	0.000114	0.000632	0.000364	0.000119	0.000927	0.000196	0.001317	0.000040	0.000398	0.000428	0.000167	0.000032	0.000088	0.000093	0.000066	0.000146	0.000050	0.000056	0.000011	0.000327	0.000175	0.000021	0.000024	0.000019	0.000042	0.000003	0	0.000005	0.000003	0	0
NielsenHB_2014_MH0026	0.294151	0.156300	0.250314	0.103588	0.003311	0.052378	0.018690	0.015737	0.012844	0.007208	0.000834	0.023222	0.000223	0.007713	0.000358	0.010936	0.006457	0.000012	0.005829	0.002272	0.005007	0.001726	0.003563	0.000211	0.000305	0.002565	0.000182	0.002013	0.000176	0.000475	0.000323	0.000141	0.000112	0.000581	0.000311	0.000857	0.000558	0.005641	0.000141	0.000176	0.000288	0.000769	0.000047	0.000100	0.000329	0.000170	0.000153	0.000029	0.000029	0.000264	0.000029	0.000006	0.000029	0.000047	0.000100	0.000041	0.000006	0.000006	0.000006	0	0.000012	0.000094	0	0	0	0	0	0	0.000006	0	0	0
