Sample	Firmicutes	Bacteroidetes	Actinobacteria	Proteobacteria	Spirochaetes	Verrucomicrobia	Euryarchaeota	Tenericutes	Fusobacteria	Cyanobacteria	Synergistetes	Streptophyta	Thermotogae	Planctomycetes	Chloroflexi	Aquificae	Ascomycota	Deferribacteres	Acidobacteria	Arthropoda	Deinococcus-Thermus	Thermodesulfobacteria	Chlorobi	Nitrospirae	Crenarchaeota	Chordata	Chlamydiae	Nematoda	Basidiomycota	Chlorophyta	Ciliophora	Apicomplexa	Gemmatimonadetes	Thaumarchaeota	Euglenozoa	Bacillariophyta	Rhodophyta
NielsenHB_2014_MH0002	0.627263	0.311007	0.010179	0.029451	0.002056	0.012191	0.000868	0.001196	0.001203	0.001132	0.000807	0.000438	0.000324	0.000343	0.000323	0.000253	0.000127	0.000078	0.000077	0.000040	0.000079	0.000111	0.000036	0.000138	0.000067	0.000089	0.000052	0.000011	0.000004	0.000005	0.000012	0.000005	0.000005	0.000017	0.000001	0.000008	0.000002
NielsenHB_2014_MH0006	0.478682	0.485753	0.006471	0.017661	0.002184	0.000477	0.000821	0.002221	0.001113	0.001524	0.000493	0.000219	0.000278	0.000251	0.000237	0.000232	0.000038	0.000513	0.000140	0.000066	0.000058	0.000094	0.000058	0.000100	0.000053	0.000037	0.000054	0.000016	0.000000	0.000003	0.000132	0.000001	0.000011	0.000008	0	0	0.000001
NielsenHB_2014_MH0009	0.535762	0.400215	0.009976	0.033284	0.003721	0.004323	0.001712	0.003359	0.001784	0.000938	0.001170	0.000296	0.000522	0.000704	0.000373	0.000190	0.000168	0.000148	0.000173	0.000353	0.000154	0.000086	0.000089	0.000034	0.000080	0.000062	0.000087	0.000109	0.000006	0.000005	0.000015	0.000003	0.000067	0.000029	0	0	0.000000
NielsenHB_2014_MH0011	0.458653	0.473238	0.008331	0.033806	0.002377	0.005801	0.006586	0.001116	0.001303	0.003827	0.000780	0.000298	0.000532	0.000656	0.000470	0.000447	0.000077	0.000291	0.000149	0.000033	0.000130	0.000299	0.000080	0.000242	0.000144	0.000109	0.000118	0.000006	0.000013	0.000028	0.000033	0.000001	0.000014	0.000008	0	0.000000	0.000002
NielsenHB_2014_MH0012	0.530707	0.408395	0.009638	0.021352	0.004109	0.004240	0.008885	0.005663	0.002363	0.000816	0.000795	0.000222	0.000379	0.000390	0.000377	0.000395	0.000086	0.000070	0.000239	0.000133	0.000342	0.000092	0.000065	0.000046	0.000078	0.000028	0.000029	0.000012	0.000008	0.000003	0.000018	0.000001	0.000016	0.000006	0.000000	0	0.000002
NielsenHB_2014_MH0014	0.544218	0.310277	0.008000	0.126325	0.002161	0.001247	0.000879	0.001545	0.001057	0.000635	0.000715	0.000402	0.000206	0.000595	0.000232	0.000507	0.000074	0.000084	0.000119	0.000143	0.000207	0.000029	0.000062	0.000022	0.000050	0.000059	0.000047	0.000066	0.000007	0.000001	0.000004	0.000001	0.000004	0.000016	0	0	0.000004
NielsenHB_2014_MH0016	0.358468	0.589958	0.006938	0.037085	0.001352	0.001031	0.000545	0.000291	0.000811	0.001051	0.000444	0.000247	0.000220	0.000081	0.000081	0.000067	0.000039	0.000036	0.000054	0.000017	0.000033	0.000013	0.000101	0.000006	0.000023	0.000038	0.000056	0.000007	0.000014	0.000001	0.000002	0.000832	0.000004	0.000006	0.000050	0	0.000000
NielsenHB_2014_MH0021	0.570763	0.351606	0.005742	0.038339	0.004191	0.001386	0.002661	0.001313	0.001939	0.012233	0.000949	0.000271	0.000953	0.000930	0.000900	0.001353	0.000482	0.000982	0.000387	0.000037	0.000186	0.000682	0.000120	0.000760	0.000293	0.000041	0.000348	0.000001	0.000005	0.000056	0.000023	0.000002	0.000055	0.000007	0.000000	0.000003	0.000002
NielsenHB_2014_MH0025	0.473785	0.415305	0.009206	0.074989	0.012757	0.004129	0.003124	0.000850	0.001597	0.001174	0.000679	0.000249	0.000391	0.000359	0.000293	0.000099	0.000069	0.000109	0.000065	0.000051	0.000137	0.000119	0.000136	0.000047	0.000039	0.000048	0.000111	0.000052	0.000007	0.000013	0.000002	0	0.000003	0.000005	0.000001	0.000001	0.000002
NielsenHB_2014_MH0026	0.456995	0.512267	0.006116	0.015373	0.002194	0.000613	0.001138	0.001161	0.001201	0.000625	0.000373	0.000140	0.000218	0.000215	0.000191	0.000352	0.000166	0.000062	0.000281	0.000062	0.000056	0.000013	0.000009	0.000023	0.000038	0.000015	0.000019	0.000000	0.000001	0.000005	0.000000	0.000059	0.000003	0.000010	0.000004	0	0
NielsenHB_2014_MH0049	0.293662	0.689101	0.003012	0.009310	0.001280	0.000264	0.000446	0.000055	0.000387	0.001093	0.000166	0.000089	0.000440	0.000080	0.000052	0.000010	0.000059	0.000040	0.000008	0.000043	0.000013	0.000002	0.000145	0.000007	0.000199	0.000014	0.000003	0	0.000000	0.000007	0	0.000012	0	0	0.000001	0.000001	0.000000
NielsenHB_2014_MH0052	0.582715	0.379686	0.006135	0.020013	0.002517	0.000741	0.001152	0.001861	0.001324	0.000643	0.000576	0.000233	0.000502	0.000205	0.000222	0.000121	0.000076	0.000432	0.000067	0.000341	0.000112	0.000036	0.000042	0.000025	0.000077	0.000037	0.000035	0.000045	0.000004	0.000004	0.000007	0.000001	0.000001	0.000005	0.000001	0.000001	0.000003
NielsenHB_2014_MH0053	0.514474	0.385543	0.009024	0.067526	0.003648	0.001277	0.002473	0.002335	0.001755	0.005865	0.000966	0.000219	0.000971	0.000456	0.000572	0.000614	0.000138	0.000293	0.000210	0.000268	0.000169	0.000352	0.000172	0.000250	0.000090	0.000041	0.000115	0.000041	0.000016	0.000002	0.000078	0.000001	0.000007	0.000023	0.000000	0.000010	0.000002
NielsenHB_2014_MH0054	0.601892	0.325999	0.009790	0.020775	0.003424	0.012336	0.002137	0.016782	0.002321	0.000864	0.000782	0.000330	0.000632	0.000327	0.000410	0.000158	0.000090	0.000075	0.000057	0.000238	0.000209	0.000044	0.000054	0.000021	0.000050	0.000035	0.000067	0.000036	0.000002	0.000001	0	0.000023	0.000036	0.000006	0.000001	0.000000	0.000001
NielsenHB_2014_MH0060	0.662652	0.258511	0.012372	0.018466	0.004755	0.015920	0.005698	0.013271	0.002142	0.000931	0.001193	0.000559	0.000754	0.000569	0.000458	0.000412	0.000250	0.000085	0.000133	0.000039	0.000069	0.000146	0.000061	0.000045	0.000081	0.000030	0.000052	0.000002	0.000006	0.000042	0.000012	0.000267	0.000003	0.000010	0	0.000001	0.000004
NielsenHB_2014_MH0069	0.608802	0.348060	0.012633	0.021227	0.001783	0.000656	0.000882	0.001628	0.001083	0.001031	0.000551	0.000368	0.000237	0.000147	0.000178	0.000124	0.000057	0.000120	0.000042	0.000060	0.000083	0.000034	0.000018	0.000046	0.000026	0.000044	0.000014	0.000011	0.000009	0.000005	0.000008	0.000002	0.000003	0.000009	0	0	0.000019
NielsenHB_2014_MH0077	0.668460	0.286767	0.007257	0.018225	0.002652	0.000487	0.001738	0.004035	0.002855	0.003332	0.000644	0.000223	0.000770	0.000305	0.000387	0.000507	0.000050	0.000281	0.000101	0.000055	0.000152	0.000131	0.000077	0.000182	0.000054	0.000058	0.000063	0.000013	0.000003	0.000086	0.000017	0.000005	0.000013	0.000010	0.000003	0.000002	0
NielsenHB_2014_MH0078	0.334295	0.644029	0.003464	0.011503	0.001775	0.000158	0.000722	0.001331	0.000606	0.000402	0.000194	0.000075	0.000117	0.000078	0.000062	0.000052	0.000169	0.000044	0.000006	0.000046	0.000027	0.000011	0.000715	0.000004	0.000037	0.000017	0.000002	0.000001	0.000004	0.000028	0.000002	0.000000	0.000000	0.000002	0	0.000017	0.000001
NielsenHB_2014_MH0079	0.573183	0.347631	0.006550	0.032196	0.005165	0.002152	0.011933	0.008911	0.004391	0.001644	0.001110	0.000187	0.001333	0.000627	0.000803	0.000371	0.000055	0.000297	0.000139	0.000053	0.000273	0.000200	0.000115	0.000115	0.000181	0.000055	0.000173	0.000008	0.000030	0.000005	0.000013	0.000054	0.000029	0.000016	0.000003	0	0.000001
NielsenHB_2014_MH0086	0.757137	0.202364	0.007358	0.021557	0.001761	0.000544	0.000835	0.000273	0.001146	0.003372	0.000475	0.000189	0.000458	0.000328	0.000294	0.000461	0.000087	0.000266	0.000252	0.000011	0.000109	0.000225	0.000019	0.000258	0.000109	0.000025	0.000030	0.000003	0.000005	0.000013	0.000006	0.000015	0.000001	0.000009	0	0.000005	0.000000
NielsenHB_2014_MH0087	0.206275	0.761646	0.006679	0.017410	0.000665	0.004561	0.000209	0.000107	0.000611	0.000451	0.000244	0.000173	0.000060	0.000192	0.000580	0.000020	0.000011	0.000001	0.000011	0.000030	0.000001	0.000002	0.000004	0.000000	0.000005	0.000010	0.000009	0.000002	0	0.000020	0.000000	0	0.000009	0	0	0	0
NielsenHB_2014_MH0088	0.637989	0.337966	0.004621	0.011353	0.001575	0.000541	0.000859	0.000209	0.002045	0.000820	0.000467	0.000143	0.000478	0.000081	0.000206	0.000076	0.000035	0.000106	0.000041	0.000004	0.000017	0.000072	0.000188	0.000036	0.000035	0.000006	0.000006	0.000003	0.000004	0.000008	0.000003	0	0.000000	0	0	0.000005	0.000001
NielsenHB_2014_MH0089	0.622100	0.333175	0.011568	0.018697	0.001711	0.007234	0.000968	0.000188	0.001078	0.001103	0.000444	0.000248	0.000246	0.000156	0.000229	0.000144	0.000141	0.000156	0.000042	0.000025	0.000030	0.000048	0.000088	0.000051	0.000023	0.000028	0.000018	0.000007	0.000003	0.000009	0.000004	0.000003	0.000008	0.000002	0	0.000027	0.000000
NielsenHB_2014_MH0090	0.567414	0.371645	0.012333	0.028247	0.002444	0.001008	0.003516	0.007765	0.001892	0.000796	0.000671	0.000306	0.000450	0.000177	0.000263	0.000152	0.000064	0.000143	0.000053	0.000083	0.000125	0.000045	0.000068	0.000067	0.000114	0.000055	0.000041	0.000008	0.000016	0.000003	0.000002	0.000000	0.000003	0.000024	0	0.000000	0.000006
NielsenHB_2014_MH0091	0.470076	0.502953	0.004776	0.015264	0.001581	0.000349	0.000500	0.001581	0.000972	0.000513	0.000368	0.000190	0.000175	0.000078	0.000150	0.000048	0.000076	0.000029	0.000017	0.000058	0.000051	0.000084	0.000008	0.000007	0.000021	0.000026	0.000011	0.000002	0.000002	0.000005	0.000006	0.000012	0.000002	0.000005	0.000000	0.000000	0.000001
NielsenHB_2014_MH0092	0.511748	0.461380	0.005685	0.013087	0.001488	0.000491	0.000752	0.000265	0.001094	0.000654	0.000368	0.000173	0.000265	0.000688	0.000221	0.000754	0.000033	0.000135	0.000399	0.000016	0.000034	0.000018	0.000028	0.000023	0.000061	0.000017	0.000056	0.000001	0.000004	0.000001	0.000005	0.000023	0.000006	0.000010	0.000001	0.000000	0.000016
NielsenHB_2014_MH0093	0.239054	0.629465	0.002773	0.113004	0.012956	0.000308	0.000492	0.000207	0.000462	0.000437	0.000166	0.000151	0.000028	0.000082	0.000024	0.000075	0.000019	0.000046	0.000012	0.000094	0.000029	0.000002	0.000026	0.000005	0.000002	0.000026	0.000012	0.000027	0.000001	0.000004	0.000008	0.000000	0.000003	0	0	0	0
NielsenHB_2014_MH0094	0.480490	0.497175	0.003944	0.010656	0.001456	0.000409	0.000908	0.000730	0.001148	0.000736	0.000259	0.000120	0.000201	0.000110	0.000227	0.000304	0.000309	0.000069	0.000012	0.000028	0.000022	0.000142	0.000400	0.000004	0.000069	0.000014	0.000011	0.000001	0.000018	0.000006	0.000000	0.000002	0.000009	0.000008	0	0	0
