,Model Name,Noise level,Accuracy,STD,Set,b
0,NeighborHoodClassifier,0.05,0.8964000000000001,0.02060679499582603,Train,0.25
1,NeighborHoodClassifier,0.05,0.8539999999999999,0.037841775856849,Test,0.25
2,AdaBoostClassifier,0.05,0.5599999999999999,0.023220680437919954,Train,0.25
3,AdaBoostClassifier,0.05,0.4852,0.02320689552697646,Test,0.25
4,NeighborHoodClassifier,0.05,0.9559999999999998,0.00839047078536122,Train,0.5
5,NeighborHoodClassifier,0.05,0.9099999999999999,0.03496283741345946,Test,0.5
6,AdaBoostClassifier,0.05,0.6292,0.05434114463277341,Train,0.5
7,AdaBoostClassifier,0.05,0.5488,0.04777614467493164,Test,0.5
8,NeighborHoodClassifier,0.05,0.9395999999999999,0.07316173863434358,Train,1.0
9,NeighborHoodClassifier,0.05,0.5984,0.16070544483619714,Test,1.0
10,AdaBoostClassifier,0.05,0.5804,0.033212046007435304,Train,1.0
11,AdaBoostClassifier,0.05,0.47119999999999995,0.0258797217913949,Test,1.0
12,NeighborHoodClassifier,0.05,1.0,0.0,Train,1.5
13,NeighborHoodClassifier,0.05,0.7676000000000001,0.08569153983912302,Test,1.5
14,AdaBoostClassifier,0.05,0.5848,0.03985172518223021,Train,1.5
15,AdaBoostClassifier,0.05,0.49800000000000005,0.040536403392506366,Test,1.5
16,NeighborHoodClassifier,0.05,1.0,0.0,Train,2.0
17,NeighborHoodClassifier,0.05,0.8671999999999999,0.020262280227062324,Test,2.0
18,AdaBoostClassifier,0.05,0.5504,0.03297028965599179,Train,2.0
19,AdaBoostClassifier,0.05,0.49399999999999994,0.015748015748023616,Test,2.0
20,NeighborHoodClassifier,0.05,0.9772000000000001,0.045599999999999995,Train,2.5
21,NeighborHoodClassifier,0.05,0.8268000000000001,0.16109922408255106,Test,2.5
22,AdaBoostClassifier,0.05,0.5972000000000001,0.050081533522846534,Train,2.5
23,AdaBoostClassifier,0.05,0.496,0.03745931125901808,Test,2.5
24,NeighborHoodClassifier,0.05,1.0,0.0,Train,3.0
25,NeighborHoodClassifier,0.05,0.8948,0.02655108284044177,Test,3.0
26,AdaBoostClassifier,0.05,0.562,0.05487440204685605,Train,3.0
27,AdaBoostClassifier,0.05,0.4936,0.03940355313927922,Test,3.0
28,NeighborHoodClassifier,0.05,1.0,0.0,Train,4.0
29,NeighborHoodClassifier,0.05,0.9096,0.009068627239003715,Test,4.0
30,AdaBoostClassifier,0.05,0.5908,0.07124717538260726,Train,4.0
31,AdaBoostClassifier,0.05,0.5088,0.05680281683156214,Test,4.0
32,NeighborHoodClassifier,0.1,0.8432000000000001,0.06271969387680396,Train,0.25
33,NeighborHoodClassifier,0.1,0.8019999999999999,0.13344062349974242,Test,0.25
34,AdaBoostClassifier,0.1,0.5908,0.03158733923583941,Train,0.25
35,AdaBoostClassifier,0.1,0.5092000000000001,0.0380441848381589,Test,0.25
36,NeighborHoodClassifier,0.1,0.8992000000000001,0.0561512243855822,Train,0.5
37,NeighborHoodClassifier,0.1,0.8112,0.1655516837727723,Test,0.5
38,AdaBoostClassifier,0.1,0.5791999999999999,0.06012786375716337,Train,0.5
39,AdaBoostClassifier,0.1,0.5204000000000001,0.04022735387767881,Test,0.5
40,NeighborHoodClassifier,0.1,0.9704,0.05920000000000001,Train,1.0
41,NeighborHoodClassifier,0.1,0.6384000000000001,0.17524565615158624,Test,1.0
