,Model Name,Noise level,Accuracy,STD,Set,b
0,NeighborHoodClassifier,0.05,0.7888,0.013833293172632438,Train,0.25
1,NeighborHoodClassifier,0.05,0.8044,0.013350655414622882,Test,0.25
2,AdaBoostClassifier,0.05,0.8136000000000001,0.019448393249829117,Train,0.25
3,AdaBoostClassifier,0.05,0.7964,0.008800000000000007,Test,0.25
4,NeighborHoodClassifier,0.05,0.8084000000000001,0.016119553343687875,Train,0.5
5,NeighborHoodClassifier,0.05,0.8032,0.003709447398198285,Test,0.5
6,AdaBoostClassifier,0.05,0.8119999999999999,0.01658915308266214,Train,0.5
7,AdaBoostClassifier,0.05,0.8152000000000001,0.012936769303036952,Test,0.5
8,NeighborHoodClassifier,0.05,0.9812,0.012812493902437584,Train,1.0
9,NeighborHoodClassifier,0.05,0.7824,0.014880860190190633,Test,1.0
10,AdaBoostClassifier,0.05,0.8136000000000001,0.018736061485808562,Train,1.0
11,AdaBoostClassifier,0.05,0.8184000000000001,0.025247574140895172,Test,1.0
12,NeighborHoodClassifier,0.05,0.9992000000000001,0.0016000000000000012,Train,1.5
13,NeighborHoodClassifier,0.05,0.7684,0.044531337280616215,Test,1.5
14,AdaBoostClassifier,0.05,0.8144,0.029783216750378042,Train,1.5
15,AdaBoostClassifier,0.05,0.7952,0.02525391058826335,Test,1.5
16,NeighborHoodClassifier,0.05,1.0,0.0,Train,2.0
17,NeighborHoodClassifier,0.05,0.7956,0.03203498088028147,Test,2.0
18,AdaBoostClassifier,0.05,0.8016,0.011128342194594814,Train,2.0
19,AdaBoostClassifier,0.05,0.8152000000000001,0.01354104870384858,Test,2.0
20,NeighborHoodClassifier,0.05,0.9448000000000001,0.11040000000000001,Train,2.5
21,NeighborHoodClassifier,0.05,0.8039999999999999,0.018676188047885976,Test,2.5
22,AdaBoostClassifier,0.05,0.7964,0.02450795789126461,Train,2.5
23,AdaBoostClassifier,0.05,0.8284,0.016267759526130188,Test,2.5
24,NeighborHoodClassifier,0.05,0.9992000000000001,0.0016000000000000014,Train,3.0
25,NeighborHoodClassifier,0.05,0.8064,0.01636581803638299,Test,3.0
26,AdaBoostClassifier,0.05,0.8208,0.01217209924376233,Train,3.0
27,AdaBoostClassifier,0.05,0.8148,0.008634813257969125,Test,3.0
28,NeighborHoodClassifier,0.05,0.8956,0.12793998593090433,Train,4.0
29,NeighborHoodClassifier,0.05,0.7768,0.024350770008359102,Test,4.0
30,AdaBoostClassifier,0.05,0.8028000000000001,0.013658696863171076,Train,4.0
31,AdaBoostClassifier,0.05,0.8276,0.02114332045824399,Test,4.0
32,NeighborHoodClassifier,0.1,0.7668000000000001,0.01499866660740215,Train,0.25
33,NeighborHoodClassifier,0.1,0.8076000000000001,0.016752313273097508,Test,0.25
34,AdaBoostClassifier,0.1,0.7716000000000001,0.018391302292116253,Train,0.25
35,AdaBoostClassifier,0.1,0.8224,0.011128342194594826,Test,0.25
36,NeighborHoodClassifier,0.1,0.7804,0.023337523433303697,Train,0.5
37,NeighborHoodClassifier,0.1,0.8019999999999999,0.016733200530681475,Test,0.5
38,AdaBoostClassifier,0.1,0.7736000000000001,0.009329523031752489,Train,0.5
39,AdaBoostClassifier,0.1,0.8059999999999998,0.01289961239727765,Test,0.5
40,NeighborHoodClassifier,0.1,0.8208,0.14060782339542846,Train,1.0
41,NeighborHoodClassifier,0.1,0.7688,0.028554509276119584,Test,1.0
42,AdaBoostClassifier,0.1,0.7632,0.018269099594670792,Train,1.0
43,AdaBoostClassifier,0.1,0.8148,0.015104966070799333,Test,1.0
44,NeighborHoodClassifier,0.1,0.9987999999999999,0.0024000000000000024,Train,1.5
45,NeighborHoodClassifier,0.1,0.7636000000000001,0.021592591322025265,Test,1.5
46,AdaBoostClassifier,0.1,0.7696000000000001,0.018128430709799474,Train,1.5
47,AdaBoostClassifier,0.1,0.8023999999999999,0.019407215153133095,Test,1.5
48,NeighborHoodClassifier,0.1,0.9391999999999999,0.12160000000000004,Train,2.0
49,NeighborHoodClassifier,0.1,0.7727999999999999,0.018529975715040767,Test,2.0
50,AdaBoostClassifier,0.1,0.774,0.024883729623993288,Train,2.0
51,AdaBoostClassifier,0.1,0.7996000000000001,0.017036431551237467,Test,2.0
52,NeighborHoodClassifier,0.1,1.0,0.0,Train,2.5
53,NeighborHoodClassifier,0.1,0.7807999999999999,0.032189439261969134,Test,2.5
54,AdaBoostClassifier,0.1,0.7852,0.01365869686317111,Train,2.5
55,AdaBoostClassifier,0.1,0.8044,0.016169106345126156,Test,2.5
56,NeighborHoodClassifier,0.1,1.0,0.0,Train,3.0
57,NeighborHoodClassifier,0.1,0.7952,0.007547184905645289,Test,3.0
58,AdaBoostClassifier,0.1,0.76,0.010430723848324247,Train,3.0
59,AdaBoostClassifier,0.1,0.8140000000000001,0.024494897427831754,Test,3.0
60,NeighborHoodClassifier,0.1,0.9484,0.1032,Train,4.0
61,NeighborHoodClassifier,0.1,0.7696,0.019734234213670432,Test,4.0
62,AdaBoostClassifier,0.1,0.7860000000000001,0.022556595487794713,Train,4.0
63,AdaBoostClassifier,0.1,0.8048,0.008997777503361564,Test,4.0
64,NeighborHoodClassifier,0.15,0.7624000000000001,0.0300506239535887,Train,0.25
65,NeighborHoodClassifier,0.15,0.7652,0.017554486605993368,Test,0.25
66,AdaBoostClassifier,0.15,0.75,0.011798304963002111,Train,0.25
67,AdaBoostClassifier,0.15,0.8092,0.007858753081755371,Test,0.25
68,NeighborHoodClassifier,0.15,0.764,0.01663730747446835,Train,0.5
69,NeighborHoodClassifier,0.15,0.7944000000000001,0.017499714283381873,Test,0.5
70,AdaBoostClassifier,0.15,0.7412,0.02010373099700652,Train,0.5
71,AdaBoostClassifier,0.15,0.8024000000000001,0.026785070468453114,Test,0.5
72,NeighborHoodClassifier,0.15,0.8676,0.14921340422361523,Train,1.0
73,NeighborHoodClassifier,0.15,0.7655999999999998,0.019571407716360126,Test,1.0
74,AdaBoostClassifier,0.15,0.7435999999999999,0.009329523031752489,Train,1.0
75,AdaBoostClassifier,0.15,0.8096,0.01155162326255488,Test,1.0
76,NeighborHoodClassifier,0.15,0.8728,0.1558080870815119,Train,1.5
77,NeighborHoodClassifier,0.15,0.7736,0.01134195750300627,Test,1.5
78,AdaBoostClassifier,0.15,0.7348000000000001,0.015157836257197146,Train,1.5
79,AdaBoostClassifier,0.15,0.8119999999999999,0.02074608396782388,Test,1.5
80,NeighborHoodClassifier,0.15,0.9436,0.11280000000000001,Train,2.0
81,NeighborHoodClassifier,0.15,0.7415999999999998,0.03096837096135348,Test,2.0
82,AdaBoostClassifier,0.15,0.7504,0.014718695594379293,Train,2.0
