,Model Name,Noise level,Accuracy,STD,Set,b
0,NeighborHoodClassifier,0.05,0.7524,0.03409164120426006,Train,0.25
1,NeighborHoodClassifier,0.05,0.7692,0.03727948497498323,Test,0.25
2,AdaBoostClassifier,0.05,0.8136000000000001,0.019448393249829117,Train,0.25
3,AdaBoostClassifier,0.05,0.7964,0.008800000000000007,Test,0.25
4,NeighborHoodClassifier,0.05,0.7856,0.059483106845557424,Train,0.5
5,NeighborHoodClassifier,0.05,0.7651999999999999,0.030055947830670705,Test,0.5
6,AdaBoostClassifier,0.05,0.8119999999999999,0.01658915308266214,Train,0.5
7,AdaBoostClassifier,0.05,0.8152000000000001,0.012936769303036952,Test,0.5
8,NeighborHoodClassifier,0.05,0.9780000000000001,0.044,Train,1.0
9,NeighborHoodClassifier,0.05,0.7512000000000001,0.021339165869358644,Test,1.0
10,AdaBoostClassifier,0.05,0.8136000000000001,0.018736061485808562,Train,1.0
11,AdaBoostClassifier,0.05,0.8184000000000001,0.025247574140895172,Test,1.0
12,NeighborHoodClassifier,0.05,0.9844000000000002,0.031199999999999978,Train,1.5
13,NeighborHoodClassifier,0.05,0.7584,0.04911048767829534,Test,1.5
14,AdaBoostClassifier,0.05,0.8144,0.029783216750378042,Train,1.5
15,AdaBoostClassifier,0.05,0.7952,0.02525391058826335,Test,1.5
16,NeighborHoodClassifier,0.05,0.922,0.013084341787036883,Train,2.0
17,NeighborHoodClassifier,0.05,0.6612,0.01671406593262092,Test,2.0
18,AdaBoostClassifier,0.05,0.8016,0.011128342194594814,Train,2.0
19,AdaBoostClassifier,0.05,0.8152000000000001,0.01354104870384858,Test,2.0
20,NeighborHoodClassifier,0.05,0.9548,0.037450767682385346,Train,2.5
21,NeighborHoodClassifier,0.05,0.7136000000000001,0.07512549500668862,Test,2.5
22,AdaBoostClassifier,0.05,0.7964,0.02450795789126461,Train,2.5
23,AdaBoostClassifier,0.05,0.8284,0.016267759526130188,Test,2.5
24,NeighborHoodClassifier,0.05,0.9572,0.03509073951913807,Train,3.0
25,NeighborHoodClassifier,0.05,0.6904000000000001,0.06806349976308888,Test,3.0
26,AdaBoostClassifier,0.05,0.8208,0.01217209924376233,Train,3.0
27,AdaBoostClassifier,0.05,0.8148,0.008634813257969125,Test,3.0
28,NeighborHoodClassifier,0.05,0.9476000000000001,0.04378858298689282,Train,4.0
29,NeighborHoodClassifier,0.05,0.6812,0.056407091752722016,Test,4.0
30,AdaBoostClassifier,0.05,0.8028000000000001,0.013658696863171076,Train,4.0
31,AdaBoostClassifier,0.05,0.8276,0.02114332045824399,Test,4.0
32,NeighborHoodClassifier,0.1,0.7023999999999999,0.010613199329137289,Train,0.25
33,NeighborHoodClassifier,0.1,0.7532,0.010552724766618345,Test,0.25
34,AdaBoostClassifier,0.1,0.7716000000000001,0.018391302292116253,Train,0.25
35,AdaBoostClassifier,0.1,0.8224,0.011128342194594826,Test,0.25
36,NeighborHoodClassifier,0.1,0.8395999999999999,0.017995555006723164,Train,0.5
37,NeighborHoodClassifier,0.1,0.7684,0.042995813749712876,Test,0.5
38,AdaBoostClassifier,0.1,0.7736000000000001,0.009329523031752489,Train,0.5
39,AdaBoostClassifier,0.1,0.8059999999999998,0.01289961239727765,Test,0.5
40,NeighborHoodClassifier,0.1,1.0,0.0,Train,1.0
41,NeighborHoodClassifier,0.1,0.7816000000000001,0.030994193004496854,Test,1.0
42,AdaBoostClassifier,0.1,0.7632,0.018269099594670792,Train,1.0
43,AdaBoostClassifier,0.1,0.8148,0.015104966070799333,Test,1.0
44,NeighborHoodClassifier,0.1,0.9508000000000001,0.04058768286069061,Train,1.5
45,NeighborHoodClassifier,0.1,0.714,0.06711184694225007,Test,1.5
46,AdaBoostClassifier,0.1,0.7696000000000001,0.018128430709799474,Train,1.5
47,AdaBoostClassifier,0.1,0.8023999999999999,0.019407215153133095,Test,1.5
48,NeighborHoodClassifier,0.1,0.9492,0.04318518264405048,Train,2.0
49,NeighborHoodClassifier,0.1,0.6856,0.07832649615551561,Test,2.0
50,AdaBoostClassifier,0.1,0.774,0.024883729623993288,Train,2.0
51,AdaBoostClassifier,0.1,0.7996000000000001,0.017036431551237467,Test,2.0
52,NeighborHoodClassifier,0.1,0.9551999999999999,0.03660819580367214,Train,2.5
53,NeighborHoodClassifier,0.1,0.6956,0.07649732021450165,Test,2.5
54,AdaBoostClassifier,0.1,0.7852,0.01365869686317111,Train,2.5
55,AdaBoostClassifier,0.1,0.8044,0.016169106345126156,Test,2.5
56,NeighborHoodClassifier,0.1,0.9460000000000001,0.044253813395005843,Train,3.0
57,NeighborHoodClassifier,0.1,0.6880000000000001,0.06551946275726016,Test,3.0
58,AdaBoostClassifier,0.1,0.76,0.010430723848324247,Train,3.0
59,AdaBoostClassifier,0.1,0.8140000000000001,0.024494897427831754,Test,3.0
60,NeighborHoodClassifier,0.1,0.9688000000000001,0.04066644808684427,Train,4.0
61,NeighborHoodClassifier,0.1,0.7172000000000001,0.0677713803902503,Test,4.0
62,AdaBoostClassifier,0.1,0.7860000000000001,0.022556595487794713,Train,4.0
63,AdaBoostClassifier,0.1,0.8048,0.008997777503361564,Test,4.0
64,NeighborHoodClassifier,0.15,0.6916,0.019241621553289078,Train,0.25
65,NeighborHoodClassifier,0.15,0.7488,0.01092520022699814,Test,0.25
66,AdaBoostClassifier,0.15,0.75,0.011798304963002111,Train,0.25
67,AdaBoostClassifier,0.15,0.8092,0.007858753081755371,Test,0.25
68,NeighborHoodClassifier,0.15,0.8211999999999999,0.05765552878952721,Train,0.5
69,NeighborHoodClassifier,0.15,0.7772,0.024284974778656886,Test,0.5
70,AdaBoostClassifier,0.15,0.7412,0.02010373099700652,Train,0.5
71,AdaBoostClassifier,0.15,0.8024000000000001,0.026785070468453114,Test,0.5
72,NeighborHoodClassifier,0.15,1.0,0.0,Train,1.0
73,NeighborHoodClassifier,0.15,0.7615999999999999,0.019407215153133144,Test,1.0
74,AdaBoostClassifier,0.15,0.7435999999999999,0.009329523031752489,Train,1.0
75,AdaBoostClassifier,0.15,0.8096,0.01155162326255488,Test,1.0
76,NeighborHoodClassifier,0.15,0.9544,0.03799789467852131,Train,1.5
77,NeighborHoodClassifier,0.15,0.7052,0.06450550364116228,Test,1.5
78,AdaBoostClassifier,0.15,0.7348000000000001,0.015157836257197146,Train,1.5
79,AdaBoostClassifier,0.15,0.8119999999999999,0.02074608396782388,Test,1.5
80,NeighborHoodClassifier,0.15,0.9756,0.030050623953588713,Train,2.0
81,NeighborHoodClassifier,0.15,0.7108000000000001,0.07038863544635598,Test,2.0
82,AdaBoostClassifier,0.15,0.7504,0.014718695594379293,Train,2.0
83,AdaBoostClassifier,0.15,0.7832000000000001,0.018486752013266165,Test,2.0
84,NeighborHoodClassifier,0.15,0.9252,0.013658696863171078,Train,2.5
85,NeighborHoodClassifier,0.15,0.6164,0.028772208813367138,Test,2.5
86,AdaBoostClassifier,0.15,0.7508000000000001,0.014945233353815536,Train,2.5
87,AdaBoostClassifier,0.15,0.8019999999999999,0.013206059215375312,Test,2.5
88,NeighborHoodClassifier,0.15,0.9136000000000001,0.017408044117591136,Train,3.0
89,NeighborHoodClassifier,0.15,0.594,0.011242775458044165,Test,3.0
90,AdaBoostClassifier,0.15,0.7488000000000001,0.013181805642627276,Train,3.0
91,AdaBoostClassifier,0.15,0.7896000000000001,0.011412274094149695,Test,3.0
92,NeighborHoodClassifier,0.15,0.9628,0.04653772663119674,Train,4.0
93,NeighborHoodClassifier,0.15,0.6835999999999999,0.07048858063544762,Test,4.0
94,AdaBoostClassifier,0.15,0.7416,0.01120000000000001,Train,4.0
95,AdaBoostClassifier,0.15,0.7996000000000001,0.025904439773907464,Test,4.0
96,NeighborHoodClassifier,0.2,0.6516,0.018216476058777135,Train,0.25
97,NeighborHoodClassifier,0.2,0.7572000000000001,0.02624804754643669,Test,0.25
98,AdaBoostClassifier,0.2,0.6971999999999999,0.008997777503361603,Train,0.25
99,AdaBoostClassifier,0.2,0.8096,0.03153157148002616,Test,0.25
100,NeighborHoodClassifier,0.2,0.6468,0.013422369388450026,Train,0.5
101,NeighborHoodClassifier,0.2,0.7452,0.014675149062275326,Test,0.5
102,AdaBoostClassifier,0.2,0.704,0.012263767773404684,Train,0.5
103,AdaBoostClassifier,0.2,0.7847999999999999,0.02141401410291866,Test,0.5
104,NeighborHoodClassifier,0.2,1.0,0.0,Train,1.0
105,NeighborHoodClassifier,0.2,0.7556,0.013108775686539164,Test,1.0
106,AdaBoostClassifier,0.2,0.7036,0.021369136622708916,Train,1.0
107,AdaBoostClassifier,0.2,0.7836000000000001,0.024703036250631204,Test,1.0
108,NeighborHoodClassifier,0.2,0.9652000000000001,0.04262581377522309,Train,1.5
109,NeighborHoodClassifier,0.2,0.6960000000000001,0.05937002610745594,Test,1.5
110,AdaBoostClassifier,0.2,0.6976000000000001,0.012092973166264757,Train,1.5
111,AdaBoostClassifier,0.2,0.7884000000000001,0.03275118318473396,Test,1.5
112,NeighborHoodClassifier,0.2,0.9672000000000001,0.0411358724229838,Train,2.0
113,NeighborHoodClassifier,0.2,0.6839999999999999,0.07681666485860997,Test,2.0
114,AdaBoostClassifier,0.2,0.7103999999999999,0.01626775952613022,Train,2.0
115,AdaBoostClassifier,0.2,0.7744,0.03603109767964335,Test,2.0
116,NeighborHoodClassifier,0.2,0.9196,0.04076076544914238,Train,2.5
117,NeighborHoodClassifier,0.2,0.6248,0.05995464952778893,Test,2.5
118,AdaBoostClassifier,0.2,0.7215999999999999,0.011128342194594855,Train,2.5
119,AdaBoostClassifier,0.2,0.7851999999999999,0.036278919498794325,Test,2.5
120,NeighborHoodClassifier,0.2,0.9372,0.05208608259410569,Train,3.0
121,NeighborHoodClassifier,0.2,0.6516,0.07141316405257508,Test,3.0
122,AdaBoostClassifier,0.2,0.6968000000000001,0.022648620267027273,Train,3.0
123,AdaBoostClassifier,0.2,0.7884,0.037553162316907474,Test,3.0
124,NeighborHoodClassifier,0.2,0.9512,0.040999512192220026,Train,4.0
125,NeighborHoodClassifier,0.2,0.6324000000000001,0.03210981158462319,Test,4.0
126,AdaBoostClassifier,0.2,0.694,0.02836899716239541,Train,4.0
127,AdaBoostClassifier,0.2,0.7939999999999999,0.030802597293085515,Test,4.0
128,NeighborHoodClassifier,0.25,0.6232,0.023068593368473965,Train,0.25
129,NeighborHoodClassifier,0.25,0.7236,0.046033031618610554,Test,0.25
130,AdaBoostClassifier,0.25,0.6532000000000001,0.03133304964410581,Train,0.25
131,AdaBoostClassifier,0.25,0.7499999999999999,0.06644095122738684,Test,0.25
132,NeighborHoodClassifier,0.25,0.6408,0.02156293115510971,Train,0.5
133,NeighborHoodClassifier,0.25,0.7444,0.005986651818838311,Test,0.5
134,AdaBoostClassifier,0.25,0.6624,0.009499473669630342,Train,0.5
135,AdaBoostClassifier,0.25,0.7636000000000001,0.02621144788064942,Test,0.5
136,NeighborHoodClassifier,0.25,1.0,0.0,Train,1.0
137,NeighborHoodClassifier,0.25,0.7327999999999999,0.029491693745866843,Test,1.0
138,AdaBoostClassifier,0.25,0.6836,0.027810789273229886,Train,1.0
139,AdaBoostClassifier,0.25,0.7764,0.04224499970410701,Test,1.0
140,NeighborHoodClassifier,0.25,0.9587999999999999,0.0504634521213125,Train,1.5
141,NeighborHoodClassifier,0.25,0.6868000000000001,0.08800545437641918,Test,1.5
142,AdaBoostClassifier,0.25,0.6660000000000001,0.017064583206161207,Train,1.5
143,AdaBoostClassifier,0.25,0.7607999999999999,0.03258465896706607,Test,1.5
144,NeighborHoodClassifier,0.25,0.9623999999999999,0.04980602373207481,Train,2.0
145,NeighborHoodClassifier,0.25,0.6759999999999999,0.05697718841782209,Test,2.0
146,AdaBoostClassifier,0.25,0.6816,0.02017523234066955,Train,2.0
147,AdaBoostClassifier,0.25,0.752,0.023933240482642566,Test,2.0
148,NeighborHoodClassifier,0.25,0.966,0.04168452950436167,Train,2.5
149,NeighborHoodClassifier,0.25,0.6275999999999999,0.058874782377517115,Test,2.5
150,AdaBoostClassifier,0.25,0.6656000000000001,0.021369136622708947,Train,2.5
151,AdaBoostClassifier,0.25,0.75,0.036726012579641726,Test,2.5
152,NeighborHoodClassifier,0.25,0.9596,0.049483734701414754,Train,3.0
153,NeighborHoodClassifier,0.25,0.612,0.028816661846924628,Test,3.0
154,AdaBoostClassifier,0.25,0.6776,0.026605262637305404,Train,3.0
155,AdaBoostClassifier,0.25,0.7636000000000001,0.035964426868782436,Test,3.0
156,NeighborHoodClassifier,0.25,0.9655999999999999,0.0426032862582219,Train,4.0
157,NeighborHoodClassifier,0.25,0.638,0.04611290491825475,Test,4.0
158,AdaBoostClassifier,0.25,0.6608,0.01142628548566857,Train,4.0
159,AdaBoostClassifier,0.25,0.792,0.0411242021199196,Test,4.0
160,NeighborHoodClassifier,0.3,0.6043999999999999,0.01405133445620025,Train,0.25
161,NeighborHoodClassifier,0.3,0.7327999999999999,0.02661127580556786,Test,0.25
162,AdaBoostClassifier,0.3,0.6420000000000001,0.023494680248941482,Train,0.25
163,AdaBoostClassifier,0.3,0.7176,0.03272674747053241,Test,0.25
164,NeighborHoodClassifier,0.3,0.6859999999999999,0.14329270742085934,Train,0.5
165,NeighborHoodClassifier,0.3,0.7224,0.018391302292116257,Test,0.5
166,AdaBoostClassifier,0.3,0.6664,0.034091641204260024,Train,0.5
167,AdaBoostClassifier,0.3,0.7368,0.048934241590117666,Test,0.5
168,NeighborHoodClassifier,0.3,0.9716000000000001,0.05680000000000001,Train,1.0
169,NeighborHoodClassifier,0.3,0.6407999999999999,0.11467240295729399,Test,1.0
170,AdaBoostClassifier,0.3,0.638,0.025581243128511195,Train,1.0
171,AdaBoostClassifier,0.3,0.7372,0.046589269150739,Test,1.0
172,NeighborHoodClassifier,0.3,1.0,0.0,Train,1.5
173,NeighborHoodClassifier,0.3,0.7083999999999999,0.02795424833544983,Test,1.5
174,AdaBoostClassifier,0.3,0.6516,0.03841666305133751,Train,1.5
175,AdaBoostClassifier,0.3,0.7344,0.04958064138350771,Test,1.5
176,NeighborHoodClassifier,0.3,0.9524000000000001,0.06040397337924054,Train,2.0
177,NeighborHoodClassifier,0.3,0.638,0.04359816509900386,Test,2.0
178,AdaBoostClassifier,0.3,0.64,0.03237282811247732,Train,2.0
179,AdaBoostClassifier,0.3,0.7012,0.03812820478333591,Test,2.0
180,NeighborHoodClassifier,0.3,0.9816,0.036799999999999986,Train,2.5
181,NeighborHoodClassifier,0.3,0.6148,0.044660497086351385,Test,2.5
182,AdaBoostClassifier,0.3,0.6500000000000001,0.018846750383023612,Train,2.5
183,AdaBoostClassifier,0.3,0.7216,0.04563156802039572,Test,2.5
184,NeighborHoodClassifier,0.3,0.9404,0.04990230455600221,Train,3.0
185,NeighborHoodClassifier,0.3,0.6028,0.05334566524095466,Test,3.0
186,AdaBoostClassifier,0.3,0.6432,0.021301643129110974,Train,3.0
187,AdaBoostClassifier,0.3,0.724,0.06593329962924652,Test,3.0
188,NeighborHoodClassifier,0.3,0.9696,0.03932225832782242,Train,4.0
189,NeighborHoodClassifier,0.3,0.618,0.06030588694315008,Test,4.0
190,AdaBoostClassifier,0.3,0.6384000000000001,0.01626775952613022,Train,4.0
191,AdaBoostClassifier,0.3,0.752,0.0420095227299716,Test,4.0
192,NeighborHoodClassifier,0.35,0.5720000000000001,0.010430723848324197,Train,0.25
193,NeighborHoodClassifier,0.35,0.6908,0.07366518852212353,Test,0.25
194,AdaBoostClassifier,0.35,0.6319999999999999,0.01554348738218037,Train,0.25
195,AdaBoostClassifier,0.35,0.67,0.08180953489661216,Test,0.25
196,NeighborHoodClassifier,0.35,0.7687999999999999,0.19000884189952844,Train,0.5
197,NeighborHoodClassifier,0.35,0.6512,0.07466833331473255,Test,0.5
198,AdaBoostClassifier,0.35,0.6028,0.030714166112723977,Train,0.5
199,AdaBoostClassifier,0.35,0.6836,0.06439130376067874,Test,0.5
200,NeighborHoodClassifier,0.35,0.9576,0.05199076841132471,Train,1.0
201,NeighborHoodClassifier,0.35,0.6544000000000001,0.06409243325073562,Test,1.0
202,AdaBoostClassifier,0.35,0.6284,0.02064558064090232,Train,1.0
203,AdaBoostClassifier,0.35,0.7120000000000001,0.03853310265213533,Test,1.0
204,NeighborHoodClassifier,0.35,0.982,0.03599999999999998,Train,1.5
205,NeighborHoodClassifier,0.35,0.66,0.02346060527778431,Test,1.5
206,AdaBoostClassifier,0.35,0.6096,0.018391302292116257,Train,1.5
207,AdaBoostClassifier,0.35,0.6764,0.04026710816535003,Test,1.5
208,NeighborHoodClassifier,0.35,0.9620000000000001,0.04664761515876239,Train,2.0
209,NeighborHoodClassifier,0.35,0.5904,0.007088018058667746,Test,2.0
210,AdaBoostClassifier,0.35,0.6279999999999999,0.04567712775558464,Train,2.0
211,AdaBoostClassifier,0.35,0.6496,0.04264082550795656,Test,2.0
212,NeighborHoodClassifier,0.35,0.9704,0.03660382493674669,Train,2.5
213,NeighborHoodClassifier,0.35,0.5791999999999999,0.03231346468579313,Test,2.5
214,AdaBoostClassifier,0.35,0.6123999999999999,0.020055921818754697,Train,2.5
215,AdaBoostClassifier,0.35,0.7032,0.06356854568102059,Test,2.5
216,NeighborHoodClassifier,0.35,0.9608000000000001,0.0481597342185357,Train,3.0
217,NeighborHoodClassifier,0.35,0.586,0.03310589071449371,Test,3.0
218,AdaBoostClassifier,0.35,0.6304,0.02684473877690005,Train,3.0
219,AdaBoostClassifier,0.35,0.7304,0.04126790520489261,Test,3.0
220,NeighborHoodClassifier,0.35,0.9452,0.045914703527301565,Train,4.0
221,NeighborHoodClassifier,0.35,0.5372,0.0467606672321942,Test,4.0
222,AdaBoostClassifier,0.35,0.6092,0.02010373099700652,Train,4.0
223,AdaBoostClassifier,0.35,0.6696,0.11418160972766149,Test,4.0
224,NeighborHoodClassifier,0.4,0.558,0.02082306413571256,Train,0.25
225,NeighborHoodClassifier,0.4,0.6607999999999999,0.045722642093387375,Test,0.25
