,Model Name,Noise level,Accuracy,STD,Set,b
0,NeighborHoodClassifier,0.05,0.9024000000000001,0.012611106216347569,Train,0.25
1,NeighborHoodClassifier,0.05,0.9236000000000001,0.0327267474705324,Test,0.25
2,AdaBoostClassifier,0.05,0.9416,0.011892854997854778,Train,0.25
3,AdaBoostClassifier,0.05,0.968,0.021203773249117694,Test,0.25
4,NeighborHoodClassifier,0.05,0.9144,0.019935897271003367,Train,0.5
5,NeighborHoodClassifier,0.05,0.9328,0.013059862173851572,Test,0.5
6,AdaBoostClassifier,0.05,0.9296,0.011620671237067124,Train,0.5
7,AdaBoostClassifier,0.05,0.9564,0.02624195114697073,Test,0.5
8,NeighborHoodClassifier,0.05,0.9984,0.001959591794226544,Train,1.0
9,NeighborHoodClassifier,0.05,0.952,0.022838563877792296,Test,1.0
10,AdaBoostClassifier,0.05,0.9324,0.009666436778875612,Train,1.0
11,AdaBoostClassifier,0.05,0.9576,0.018039955654047465,Test,1.0
12,NeighborHoodClassifier,0.05,1.0,0.0,Train,1.5
13,NeighborHoodClassifier,0.05,0.9784,0.006858571279792905,Test,1.5
14,AdaBoostClassifier,0.05,0.9308,0.013422369388449991,Train,1.5
15,AdaBoostClassifier,0.05,0.9655999999999999,0.014880860190190632,Test,1.5
16,NeighborHoodClassifier,0.05,1.0,0.0,Train,2.0
17,NeighborHoodClassifier,0.05,0.9864,0.0029393876913398165,Test,2.0
18,AdaBoostClassifier,0.05,0.9263999999999999,0.016704490414256874,Train,2.0
19,AdaBoostClassifier,0.05,0.9628,0.021821090715177346,Test,2.0
20,NeighborHoodClassifier,0.05,1.0,0.0,Train,2.5
21,NeighborHoodClassifier,0.05,0.9788,0.004118252056394804,Test,2.5
22,AdaBoostClassifier,0.05,0.9284000000000001,0.007939773296511653,Train,2.5
23,AdaBoostClassifier,0.05,0.9688000000000001,0.012496399481450657,Test,2.5
24,NeighborHoodClassifier,0.05,0.9992000000000001,0.0016000000000000014,Train,3.0
25,NeighborHoodClassifier,0.05,0.9743999999999999,0.003878143885933067,Test,3.0
26,AdaBoostClassifier,0.05,0.9312000000000001,0.005741080037762893,Train,3.0
27,AdaBoostClassifier,0.05,0.9696,0.009748846085563161,Test,3.0
28,NeighborHoodClassifier,0.05,1.0,0.0,Train,4.0
29,NeighborHoodClassifier,0.05,0.9640000000000001,0.0035777087639996667,Test,4.0
30,AdaBoostClassifier,0.05,0.9428000000000001,0.011214276615100908,Train,4.0
31,AdaBoostClassifier,0.05,0.9808,0.010166612021711078,Test,4.0
32,NeighborHoodClassifier,0.1,0.8619999999999999,0.014532721699667973,Train,0.25
33,NeighborHoodClassifier,0.1,0.9259999999999999,0.016685322891691348,Test,0.25
34,AdaBoostClassifier,0.1,0.8764,0.016414627622946567,Train,0.25
35,AdaBoostClassifier,0.1,0.938,0.02491585840383588,Test,0.25
36,NeighborHoodClassifier,0.1,0.8884000000000001,0.018607525359380827,Train,0.5
37,NeighborHoodClassifier,0.1,0.9328000000000001,0.024612192100664232,Test,0.5
38,AdaBoostClassifier,0.1,0.8712,0.028187940683916616,Train,0.5
39,AdaBoostClassifier,0.1,0.9404,0.030156922919953203,Test,0.5
40,NeighborHoodClassifier,0.1,1.0,0.0,Train,1.0
41,NeighborHoodClassifier,0.1,0.9296000000000001,0.027229395880187985,Test,1.0
42,AdaBoostClassifier,0.1,0.8720000000000001,0.02059126028197402,Train,1.0
43,AdaBoostClassifier,0.1,0.9464,0.025279240494919912,Test,1.0
44,NeighborHoodClassifier,0.1,0.9992000000000001,0.0016000000000000014,Train,1.5
45,NeighborHoodClassifier,0.1,0.958,0.023596609926004188,Test,1.5
46,AdaBoostClassifier,0.1,0.882,0.021466252583998,Train,1.5
47,AdaBoostClassifier,0.1,0.9536,0.05042856333468166,Test,1.5
48,NeighborHoodClassifier,0.1,0.9748000000000001,0.04643446995498064,Train,2.0
49,NeighborHoodClassifier,0.1,0.9315999999999999,0.0838989868830369,Test,2.0
50,AdaBoostClassifier,0.1,0.8792,0.01782582396412577,Train,2.0
51,AdaBoostClassifier,0.1,0.9543999999999999,0.03137897385192828,Test,2.0
52,NeighborHoodClassifier,0.1,0.9992000000000001,0.0016000000000000012,Train,2.5
53,NeighborHoodClassifier,0.1,0.958,0.01019803902718558,Test,2.5
54,AdaBoostClassifier,0.1,0.8620000000000001,0.02135415650406264,Train,2.5
55,AdaBoostClassifier,0.1,0.9396000000000001,0.036230373997517586,Test,2.5
56,NeighborHoodClassifier,0.1,1.0,0.0,Train,3.0
57,NeighborHoodClassifier,0.1,0.9376,0.01030727898138006,Test,3.0
58,AdaBoostClassifier,0.1,0.8700000000000001,0.015798734126505214,Train,3.0
59,AdaBoostClassifier,0.1,0.9380000000000001,0.033964687544566025,Test,3.0
60,NeighborHoodClassifier,0.1,0.9992000000000001,0.0016000000000000014,Train,4.0
61,NeighborHoodClassifier,0.1,0.9284000000000001,0.004454211490264022,Test,4.0
62,AdaBoostClassifier,0.1,0.8732000000000001,0.021562931155109707,Train,4.0
63,AdaBoostClassifier,0.1,0.9583999999999999,0.01703643155123746,Test,4.0
64,NeighborHoodClassifier,0.15,0.7687999999999999,0.04733877902945954,Train,0.25
65,NeighborHoodClassifier,0.15,0.8664,0.03297028965599183,Test,0.25
66,AdaBoostClassifier,0.15,0.8215999999999999,0.01651181395244021,Train,0.25
67,AdaBoostClassifier,0.15,0.9236000000000001,0.03460404600621145,Test,0.25
68,NeighborHoodClassifier,0.15,0.8276,0.012289833196589744,Train,0.5
69,NeighborHoodClassifier,0.15,0.9228000000000002,0.007756287771866133,Test,0.5
70,AdaBoostClassifier,0.15,0.8335999999999999,0.022032702966272633,Train,0.5
71,AdaBoostClassifier,0.15,0.9532,0.02818794068391657,Test,0.5
72,NeighborHoodClassifier,0.15,1.0,0.0,Train,1.0
73,NeighborHoodClassifier,0.15,0.8936,0.02924106701199533,Test,1.0
74,AdaBoostClassifier,0.15,0.8320000000000001,0.014532721699667942,Train,1.0
75,AdaBoostClassifier,0.15,0.9400000000000001,0.031799371062962836,Test,1.0
76,NeighborHoodClassifier,0.15,0.9736,0.05082361655765949,Train,1.5
77,NeighborHoodClassifier,0.15,0.9087999999999999,0.07060424916391363,Test,1.5
78,AdaBoostClassifier,0.15,0.8204,0.029702525145179133,Train,1.5
79,AdaBoostClassifier,0.15,0.9119999999999999,0.036878177829171535,Test,1.5
80,NeighborHoodClassifier,0.15,0.9984,0.001959591794226544,Train,2.0
81,NeighborHoodClassifier,0.15,0.942,0.014142135623730921,Test,2.0
82,AdaBoostClassifier,0.15,0.8148,0.017278888853164115,Train,2.0
83,AdaBoostClassifier,0.15,0.9144,0.012986146464598308,Test,2.0
84,NeighborHoodClassifier,0.15,0.9751999999999998,0.0496,Train,2.5
85,NeighborHoodClassifier,0.15,0.8603999999999999,0.07141316405257508,Test,2.5
86,AdaBoostClassifier,0.15,0.8248,0.01727888885316412,Train,2.5
87,AdaBoostClassifier,0.15,0.9416,0.031225630498037962,Test,2.5
88,NeighborHoodClassifier,0.15,1.0,0.0,Train,3.0
89,NeighborHoodClassifier,0.15,0.9032,0.007440430095095317,Test,3.0
90,AdaBoostClassifier,0.15,0.8331999999999999,0.019166637681137483,Train,3.0
91,AdaBoostClassifier,0.15,0.954,0.02386629422428206,Test,3.0
92,NeighborHoodClassifier,0.15,0.9984,0.001959591794226544,Train,4.0
93,NeighborHoodClassifier,0.15,0.8800000000000001,0.00885437744847147,Test,4.0
94,AdaBoostClassifier,0.15,0.8231999999999999,0.023103246525109807,Train,4.0
95,AdaBoostClassifier,0.15,0.9443999999999999,0.02140654105641541,Test,4.0
96,NeighborHoodClassifier,0.2,0.7192000000000001,0.005153639490690055,Train,0.25
97,NeighborHoodClassifier,0.2,0.8252,0.023650792798551146,Test,0.25
